Date,Species,GroupSize,TransectID,Year
2018-03-06,Grant's gazelle,3,Sampu Enkare bushlands,2018
2018-03-06,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-05-08,Grant's gazelle,10,Sampu Enkare bushlands,2018
2018-05-08,Grant's gazelle,3,Sampu Enkare bushlands,2018
2018-05-08,Grant's gazelle,2,Sampu Enkare bushlands,2018
2018-06-19,Grant's gazelle,8,Sampu Enkare bushlands,2018
2018-07-03,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-08-02,Grant's gazelle,2,Sampu Enkare bushlands,2018
2018-09-04,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-09-04,Grant's gazelle,2,Sampu Enkare bushlands,2018
2018-10-02,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-10-02,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-10-02,Grant's gazelle,2,Sampu Enkare bushlands,2018
2018-11-06,Grant's gazelle,3,Sampu Enkare bushlands,2018
2018-12-04,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-12-04,Grant's gazelle,1,Sampu Enkare bushlands,2018
2018-12-04,Grant's gazelle,4,Sampu Enkare bushlands,2018
2018-12-04,Grant's gazelle,1,Sampu Enkare bushlands,2018
2017-10-20,Grant's gazelle,8,Balanite plains,2017
2017-10-20,Grant's gazelle,3,Balanite plains,2017
2017-10-20,Grant's gazelle,5,Balanite plains,2017
2017-10-20,Grant's gazelle,1,Balanite plains,2017
2017-10-20,Grant's gazelle,1,Balanite plains,2017
2017-10-20,Grant's gazelle,3,Balanite plains,2017
2017-11-02,Grant's gazelle,5,Balanite plains,2017
2017-11-02,Grant's gazelle,2,Balanite plains,2017
2017-12-07,Grant's gazelle,13,Balanite plains,2017
2017-12-07,Grant's gazelle,2,Balanite plains,2017
2017-12-07,Grant's gazelle,2,Balanite plains,2017
2017-12-07,Grant's gazelle,1,Balanite plains,2017
2017-12-07,Grant's gazelle,10,Balanite plains,2017
2017-12-07,Grant's gazelle,2,Balanite plains,2017
